episode,step,active_server,tasks_generated,tasks_dropped,total_queue_length,local_queue_length,total_processed
999,0,1,1,0,0,0,0
999,1,1,1,0,0,0,0
999,2,1,0,0,0,0,0
999,3,1,1,0,0,0,1
999,4,1,2,0,0,0,1
999,5,1,1,0,1,0,1
999,6,1,3,0,1,2,2
999,7,1,0,0,2,1,2
999,8,1,0,0,1,1,3
999,9,1,3,0,1,2,3
999,10,2,0,0,0,2,4
999,11,2,3,0,1,3,4
999,12,2,0,0,1,3,6
999,13,2,3,0,0,4,7
999,14,2,0,0,2,4,7
999,15,2,3,0,1,4,8
999,16,2,1,0,3,4,8
999,17,2,1,0,3,4,9
999,18,2,1,0,4,4,9
999,19,2,0,0,3,4,10
999,20,3,3,0,0,5,10
999,21,3,0,0,1,5,12
999,22,3,0,0,3,4,12
999,23,3,2,0,2,4,13
999,24,3,2,0,3,5,14
999,25,3,3,0,4,7,14
999,26,3,3,0,4,8,15
999,27,3,0,0,5,8,15
999,28,3,3,0,4,8,16
999,29,3,1,0,6,8,16
999,30,,0,0,6,8,17
999,31,,3,3,6,8,17
999,32,,2,2,5,7,18
999,33,,1,1,4,7,19
999,34,,2,2,4,7,19
